modelo,EQM,RMSE,MAE,R2_fora
média (baseline),8.70610888758346,2.950611612459942,2.7082830318299798,0.0
MQO,20.976638197882647,4.580026004061838,3.8694584113236985,-1.4094160168154177
GAM,22.214398911810655,4.713215347489509,3.959335354925208,-1.5515875345290642
Kernel,58.40693993179189,7.6424433221183845,5.629208777039245,-5.7087306954190655
